,name,cost_text,coordinates,desc,beds,baths,parkings,weekly_rent
https://www.domain.com.au/408-lonsdale-street-melbourne-vic-3000-15646328,408 Lonsdale Street Melbourne VIC 3000,$380,"[-37.8125979, 144.9604012]",Manuel Flores,1.0,1.0,0.0,380.0
https://www.domain.com.au/75-350-st-kilda-road-melbourne-vic-3000-16573793,75/350 St Kilda Road Melbourne VIC 3000,$1195 Per Week,"[-37.8310667, 144.9709519]",Debbie Davut,2.0,2.0,2.0,1195.0
https://www.domain.com.au/1301-17-spring-street-melbourne-vic-3000-16521436,1301/17 Spring Street Melbourne VIC 3000,$1950 Per Week,"[-37.8147493, 144.9744021]",Darren McMullin,3.0,2.0,2.0,1950.0
https://www.domain.com.au/303-253-franklin-street-melbourne-vic-3000-16633442,303/253 Franklin Street Melbourne VIC 3000,$600 pw,"[-37.8095025, 144.9566681]",nbn® Fibre to the Building (FTTB) is available in this property ,2.0,1.0,0.0,600.0
https://www.domain.com.au/32-377-little-collins-street-melbourne-vic-3000-16628812,32/377 Little Collins Street Melbourne VIC 3000,$570 per week,"[-37.8158922, 144.9624538]",***FULLY FURNISHED***,1.0,1.0,0.0,570.0
https://www.domain.com.au/305-543-elizabeth-street-melbourne-vic-3000-16628549,305/543 Elizabeth Street Melbourne VIC 3000,$1100 per week,"[-37.8054298, 144.9586458]","This stunning addition to the north of the CBD perfectly encapsulates the blend of Melbourne's architectural history and its contemporary future. Retaining the heritage facade of this Streamline Moderne building built in 1937 by RM. and M.H King Architects, a new 13-level construction integrates the notable design of the past with modern amenities and city living.",2.0,2.0,1.0,1100.0
https://www.domain.com.au/304-543-elizabeth-street-melbourne-vic-3000-16628548,304/543 Elizabeth Street Melbourne VIC 3000,$1300 per week,"[-37.8054298, 144.9586458]","This stunning addition to the north of the CBD perfectly encapsulates the blend of Melbourne's architectural history and its contemporary future. Retaining the heritage facade of this Streamline Moderne building built in 1937 by RM. and M.H King Architects, a new 13-level construction integrates the notable design of the past with modern amenities and city living.",3.0,3.0,2.0,1300.0
https://www.domain.com.au/303-543-elizabeth-street-melbourne-vic-3000-16628547,303/543 Elizabeth Street Melbourne VIC 3000,$850 per week,"[-37.8054298, 144.9586458]","This stunning addition to the north of the CBD perfectly encapsulates the blend of Melbourne's architectural history and its contemporary future. Retaining the heritage facade of this Streamline Moderne building built in 1937 by RM. and M.H King Architects, a new 13-level construction integrates the notable design of the past with modern amenities and city living.",2.0,2.0,1.0,850.0
https://www.domain.com.au/302-543-elizabeth-street-melbourne-vic-3000-16628546,302/543 Elizabeth Street Melbourne VIC 3000,$850 per week,"[-37.8054298, 144.9586458]","This stunning addition to the north of the CBD perfectly encapsulates the blend of Melbourne's architectural history and its contemporary future. Retaining the heritage facade of this Streamline Moderne building built in 1937 by RM. and M.H King Architects, a new 13-level construction integrates the notable design of the past with modern amenities and city living.",2.0,2.0,1.0,850.0
https://www.domain.com.au/301-543-elizabeth-street-melbourne-vic-3000-16628545,301/543 Elizabeth Street Melbourne VIC 3000,$575 per week,"[-37.8054298, 144.9586458]","This stunning addition to the north of the CBD perfectly encapsulates the blend of Melbourne's architectural history and its contemporary future. Retaining the heritage facade of this Streamline Moderne building built in 1937 by RM. and M.H King Architects, a new 13-level construction integrates the notable design of the past with modern amenities and city living.",1.0,1.0,0.0,575.0
