,name,geometry,cost,beds,baths,parkings,SA2_CODE21,SA2_NAME21,Nearest_station,Nearest_park,Nearest_shop,Nearest_hospital,Nearest_school,Nearest_supermarket
316,3101/63 La Trobe Street Melbourne VIC 3000,POINT (144.9693999 -37.8082025),1300.0,3.0,2.0,1.0,206041503,Melbourne CBD - East,0.7467,1.6238,0.7402000000000001,2.0221,0.8775,0.855
335,1305/63 La Trobe Street Melbourne VIC 3000,POINT (144.9693999 -37.8082025),650.0,1.0,1.0,,206041503,Melbourne CBD - East,0.7467,1.6238,0.7402000000000001,2.0221,0.8775,0.855
348,79/33 Latrobe Street Melbourne VIC 3000,POINT (144.9703422 -37.8079019),680.0,2.0,1.0,1.0,206041503,Melbourne CBD - East,0.8382000000000001,1.7152,0.8317,2.1136,0.9689,1.0866666666666667
349,72/99 Spring Street Melbourne VIC 3000,POINT (144.973326 -37.812531),1500.0,3.0,2.0,1.0,206041503,Melbourne CBD - East,0.6046,2.4525,0.8461000000000001,2.8683,0.4109,2.1166666666666667
356,112/108 Flinders Street Melbourne VIC 3000,POINT (144.9710265 -37.8159974),600.0,2.0,1.0,,206041503,Melbourne CBD - East,1.8603,2.4314,0.8249,2.8472,0.6595,1.8333333333333333
359,3006/63 La Trobe Street Melbourne VIC 3000,POINT (144.9693999 -37.8082025),590.0,1.0,1.0,,206041503,Melbourne CBD - East,0.7467,1.6238,0.7402000000000001,2.0221,0.8775,0.855
360,6.1/201 Spring Street Melbourne VIC 3000,POINT (144.9721794 -37.81009299999999),700.0,2.0,1.0,1.0,206041503,Melbourne CBD - East,0.7577999999999999,1.9650999999999998,0.8132999999999999,2.3872,0.35710000000000003,0.5
364,4104/63 La Trobe Street Melbourne VIC 3000,POINT (144.9693999 -37.8082025),1080.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7467,1.6238,0.7402000000000001,2.0221,0.8775,0.855
365,3704/318 Russell Street Melbourne VIC 3000,POINT (144.9666951 -37.8092219),700.0,2.0,1.0,,206041503,Melbourne CBD - East,0.7906,1.6222999999999999,0.42269999999999996,2.0381,0.4597,0.9299999999999999
367,3807/63 La Trobe Street Melbourne VIC 3000,POINT (144.9693999 -37.8082025),980.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7467,1.6238,0.7402000000000001,2.0221,0.8775,0.855
368,3402/63 La Trobe Street Melbourne VIC 3000,POINT (144.9693999 -37.8082025),950.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7467,1.6238,0.7402000000000001,2.0221,0.8775,0.855
372,11D/131 Lonsdale Street Melbourne VIC 3000,POINT (144.9685513 -37.810779),420.0,1.0,1.0,,206041503,Melbourne CBD - East,0.7632000000000001,1.9647999999999999,0.3583,2.3806,0.5822999999999999,0.9633333333333333
375,2703/23 Mackenzie Street Melbourne VIC 3000,POINT (144.9669603 -37.8076799),550.0,1.0,1.0,,206041503,Melbourne CBD - East,0.8715,1.4051,0.7262000000000001,1.8209000000000002,0.2425,1.1516666666666666
