,lga_name,cost,beds,baths,parkings,nearest_station,nearest_park,nearest_shop,nearest_hospital,nearest_school,nearest_supermarket,distance_to_cbd,year,offence_count,population,weekly_income
43,melbourne,580.2023016828425,2.0,1.0,0.0,2.2666666666666666,6.266666666666667,2.1733333333333333,5.17,1.53,0.9233333333333332,4.556666666666667,2024,34522.49,478000.0,1220.0812545498522
44,melton,464.491102335669,4.0,2.0,2.0,8.056666666666667,18.72833333333333,8.04,29.69333333333333,3.26,5.385000000000001,41.255,2024,12614.69,403439.0,874.4611858578531
45,mildura,406.75334921425383,3.0,1.0,2.0,999.0,999.0,6.183333333333334,999.0,2.2883333333333336,3.606666666666667,999.0,2024,7141.93,58138.0,793.595803924393
46,mitchell,466.0498907443507,4.0,2.0,2.0,8.263333333333334,23.97,24.558333333333334,35.75333333333333,3.66,7.193333333333333,55.961666666666666,2024,3248.36,51885.0,887.928920709175
47,moira,389.7560071072621,3.0,1.0,2.0,47.19666666666667,47.67166666666667,14.746666666666666,59.89,2.066666666666667,33.04666666666667,999.0,2024,2226.67,30844.0,701.8466972053658
48,monash,553.8408187004607,3.0,2.0,1.0,3.733333333333333,15.915,5.29,5.816666666666666,2.253333333333333,2.8266666666666667,28.148333333333333,2024,11573.95,258052.0,892.7436988698712
49,moonee valley,507.3097847524914,2.0,1.0,1.0,3.6666666666666665,7.223333333333333,5.371666666666667,10.991666666666667,1.8766666666666665,2.845,17.91,2024,7690.53,206860.0,1107.4742525834554
50,moorabool,478.73677482956555,3.0,2.0,2.0,5.985,30.9,16.125,22.62833333333333,4.135,5.416666666666667,52.013333333333335,2024,2357.0,38109.0,922.6027697666092
51,moreland,513.8072499233094,2.0,1.0,1.0,2.953333333333333,4.3566666666666665,4.343333333333334,4.366666666666666,1.7633333333333332,1.6983333333333337,15.785,2024,17139.04,332992.0,1104.8671484826243
52,mornington peninsula,532.2978246609164,3.0,2.0,2.0,25.385,19.096666666666668,11.188333333333333,22.075,3.591666666666667,4.375,69.45333333333333,2024,9765.88,210053.0,852.3365673685248
53,mount alexander,458.3340039741561,3.0,1.0,2.0,6.141666666666667,8.216666666666667,26.641666666666666,8.09,1.9766666666666663,20.2,999.0,2024,993.72,20657.0,761.4444416074373
54,moyne,419.18652834175373,3.0,1.0,1.0,29.15666666666667,75.18166666666666,36.32666666666667,21.45,1.585,10.601666666666668,999.0,2024,655.59,17216.0,871.440156501869
