,name,geometry,cost,beds,baths,parkings,lga_code,lga_name,nearest_station,nearest_park,nearest_shop,nearest_hospital,nearest_school,nearest_supermarket,distance_to_cbd
11412,16 Ventasso Street Clyde North VIC 3978,POINT (145.3245881 -38.1133545),520.0,4.0,2.0,2.0,21610,Casey,10.073333333333332,8.985000000000001,9.445,29.641666666666666,3.808333333333333,2.356666666666667,51.655
11413,199 Morison Road Clyde VIC 3978,POINT (145.315309 -38.130315),550.0,3.0,2.0,2.0,21610,Casey,11.426666666666668,12.831666666666667,10.545,32.626666666666665,3.1083333333333334,4.888333333333334,55.35666666666667
11414,19 Paso Grove Clyde North VIC 3978,POINT (145.3259923 -38.1138445),500.0,4.0,2.0,2.0,21610,Casey,10.370000000000001,9.198333333333332,9.578333333333335,29.855,4.308333333333334,2.49,51.86833333333333
11415,24 Speargrass Close Clyde North VIC 3978,POINT (145.3357573 -38.07749829999999),530.0,4.0,2.0,2.0,21610,Casey,12.083333333333334,4.931666666666667,6.873333333333333,24.790000000000003,4.26,4.641666666666667,46.805
11416,41 Meyer Crescent Clyde North VIC 3978,POINT (145.3848158 -38.1025005),680.0,4.0,2.0,2.0,21610,Casey,21.328333333333333,17.6,19.541666666666668,35.544999999999995,5.83,13.49,57.55833333333333
11417,41 Spectrum Crescent Clyde North VIC 3978,POINT (145.3923139 -38.101026),500.0,4.0,2.0,2.0,21610,Casey,24.831666666666667,21.941666666666666,29.348333333333336,39.05,9.333333333333334,27.040000000000003,61.06333333333334
11418,34 Vivace Avenue Clyde VIC 3978,POINT (145.3684315 -38.1384517),560.0,4.0,2.0,2.0,21610,Casey,20.279999999999998,15.514999999999999,13.526666666666667,35.608333333333334,9.658333333333333,7.805000000000001,58.184999999999995
11419,14 Crosswater Boulevard Clyde North VIC 3978,POINT (145.352598 -38.0853516),650.0,4.0,2.0,2.0,21610,Casey,8.803333333333335,7.656666666666666,9.598333333333333,25.346666666666668,3.7516666666666665,5.778333333333333,47.36
11420,52 Moroak Cres Clyde North VIC 3978,POINT (145.3461111 -38.11496),450.0,3.0,2.0,1.0,21610,Casey,19.668333333333333,12.49,12.611666666666668,33.14666666666667,3.3633333333333337,7.071666666666667,55.16
11421,7 Chitwan Street Clyde North VIC 3978,POINT (145.3815772 -38.0997537),500.0,4.0,2.0,2.0,21610,Casey,17.078333333333333,13.35,15.291666666666666,31.295,5.953333333333333,9.24,53.30833333333333
11422,10 Frome Road Clyde VIC 3978,POINT (145.3788145 -38.1273866),550.0,4.0,2.0,2.0,21610,Casey,21.976666666666667,16.898333333333333,15.479999999999999,36.75833333333333,22.065,11.923333333333334,58.77166666666667
11423,21 Trainers Way Clyde North VIC 3978,POINT (145.3400353 -38.1172489),480.0,3.0,1.0,2.0,21610,Casey,11.591666666666667,10.79,10.8,31.446666666666665,1.2716666666666667,3.7133333333333334,53.46
11424,27 Bellavita Avenue Clyde VIC 3978,POINT (145.3658765 -38.1299002),525.0,4.0,2.0,2.0,21610,Casey,23.301666666666666,15.285,14.663333333333332,35.94166666666667,8.813333333333333,7.575,57.955000000000005
11425,14 Playwright Street Clyde North VIC 3978,POINT (145.3701087 -38.1223097),750.0,4.0,2.0,1.0,21610,Casey,22.103333333333335,15.485000000000001,14.065,35.343333333333334,20.651666666666664,10.508333333333333,57.35666666666667
11426,24 Boboli Avenue Clyde North VIC 3978,POINT (145.3290599 -38.1109025),500.0,4.0,2.0,2.0,21610,Casey,9.146666666666667,7.54,9.81,28.196666666666665,3.8883333333333336,2.1216666666666666,50.21
11427,53 Parkrise Boulevard Clyde North VIC 3978,POINT (145.3835178 -38.0981462),500.0,4.0,2.0,2.0,21610,Casey,17.168333333333333,13.44,15.381666666666666,31.386666666666667,6.043333333333334,9.33,53.4
11428,22 Vermillion Drive Clyde North VIC 3978,POINT (145.3530001 -38.09641190000001),600.0,4.0,2.0,2.0,21610,Casey,15.129999999999999,10.033333333333333,11.975,29.891666666666666,6.305000000000001,5.748333333333333,51.905
11429,3 Candelo Street Clyde VIC 3978,POINT (145.3598285 -38.12350259999999),500.0,3.0,2.0,1.0,21610,Casey,20.98166666666667,13.803333333333335,13.181666666666667,34.46,7.333333333333333,9.625,56.473333333333336
11430,19 Portobello Boulevard Clyde North VIC 3978,POINT (145.3504004 -38.1034897),480.0,3.0,2.0,2.0,21610,Casey,17.631666666666668,10.453333333333335,13.193333333333333,31.11,6.515,6.275,53.123333333333335
11431,43 Kunlun Crescent Clyde North VIC 3978,POINT (145.3544498 -38.1056315),675.0,5.0,3.0,2.0,21610,Casey,18.955,12.981666666666666,14.921666666666665,32.84,8.245,8.005,54.85333333333333
